time,x,y,z,u,v,w,phi,theta,psi,p,q,r,Fx,Fy,Fz,l,m,n
0.0,-39.12258049865028,-0.11045754097426752,-1378.5675973916805,-3912.2580498650277,-11.045754097426752,-137856.75973916805,0.4295880916178434,1.5696225485446522,0.5494303453457063,-271.20045619719497,125820.66839844619,54.94303453457063,1196516.1451484698,-50650.32950716943,-151642435.71308485,-23006.23400506371,14280645.863223642,12918.88524899731
0.01,-12880.84976390673,-211361.99832654238,609812.1789021465,-61133273.431687005,-20801176.57965724,-3736682.2852836153,-0.41519922504885365,0.8689224794851409,1.4174078590171284,1213753294.7578886,189680183.7350494,273074231.7516141,-67244677438.10737,-22880654294.094,-3958640581.8423014,96736403713.71593,21514420207.830116,33468704909.52916
0.02,111840025473.3685,-185076966765.25082,-129709555436.28566,-800800550682.6664,-4215357623051.478,-24848596418557.16,0.012728909092205143,1.3722662339236376,0.09604298022197,-379941477754657.9,67186024920909.484,-43787011768759.25,-880813070544655.0,-4636871474287136.0,-2.7333451270738576e+16,-3.0781830362139404e+16,7625592299822373.0,-3142871105786685.0
0.03,-5.301181806135801e+21,-7.192566865982656e+21,2.0653899245822505e+22,-2.142496687439865e+24,-6.673124353719845e+23,-1.6909484068170953e+23,-0.8317230415151595,-0.06626293254692861,2.8127334967623447,1.2452892107156801e+26,9.069241510274438e+24,2.1196197764672947e+25,-2.3567463561833415e+27,-7.340436789045434e+26,-1.8600432472253552e+26,1.000682872315191e+28,1.029358911408523e+27,2.2340641339502977e+27
